player,place,payout
Danny Willett,1,"$1,800,000"
Jordan Spieth,T2,"$880,000"
Lee Westwood,T2,"$880,000"
Dustin Johnson,T4,"$413,333"
J.B. Holmes,T4,"$413,333"
Paul Casey,T4,"$413,333"
Hideki Matsuyama,T7,"$311,667"
Matthew Fitzpatrick,T7,"$311,667"
Soren Kjeldsen,T7,"$311,667"
Brandt Snedeker,T10,"$230,000"
Daniel Berger,T10,"$230,000"
Jason Day,T10,"$230,000"
Justin Rose,T10,"$230,000"
Rory McIlroy,T10,"$230,000"
Kiradech Aphibarnrat,T15,"$175,000"
Louis Oosthuizen,T15,"$175,000"
Billy Horschel,T17,"$145,000"
Danny Lee,T17,"$145,000"
Emiliano Grillo,T17,"$145,000"
Rafael Cabrera-Bello,T17,"$145,000"
Brooks Koepka,T21,"$116,000"
Bryson Dechambeau,T21,
Jamie Donaldson,T21,"$116,000"
Angel Cabrera,T24,"$89,000"
Bernhard Langer,T24,"$89,000"
Bill Haas,T24,"$89,000"
Henrik Stenson,T24,"$89,000"
Matt Kuchar,T24,"$89,000"
Charley Hoffman,T29,"$68,000"
Jimmy Walker,T29,"$68,000"
Scott Piercy,T29,"$68,000"
Smylie Kaufman,T29,"$68,000"
Webb Simpson,T29,"$68,000"
Bernd Wiesberger,T34,"$56,500"
Kevin Streelman,T34,"$56,500"
Sergio Garcia,T34,"$56,500"
Bubba Watson,T37,"$50,250"
Kevin Kisner,T37,"$50,250"
Justin Thomas,T39,"$46,000"
Romain Langasque,T39,
Shane Lowry,T39,"$46,000"
Adam Scott,T42,"$37,000"
Anirban Lahiri,T42,"$37,000"
Chris Wood,T42,"$37,000"
Davis Love III,T42,"$37,000"
Harris English,T42,"$37,000"
Troy Merritt,T42,"$37,000"
Victor Dubuisson,T42,"$37,000"
Ian Poulter,T49,"$27,467"
Martin Kaymer,T49,"$27,467"
Patrick Reed,T49,"$27,467"
Keegan Bradley,T52,"$24,900"
Larry Mize,T52,"$24,900"
Hunter Mahan,54,"$24,000"
Cameron Smith,T55,"$23,400"
Kevin Na,T55,"$23,400"
Thongchai Jaidee,57,"$23,000"
Byeong-Hun An,CUT,
Marc Leishman,CUT,
Phil Mickelson,CUT,
Trevor Immelman,CUT,
Vaughn Taylor,CUT,
Branden Grace,CUT,
Charl Schwartzel,CUT,
David Lingmerth,CUT,
Russell Knox,CUT,
Tom Watson,CUT,
Zach Johnson,CUT,
Jim Herman,CUT,
Chris Kirk,CUT,
Derek Bard,CUT,
Ernie Els,CUT,
Graeme McDowell,CUT,
Jason Dufner,CUT,
Rickie Fowler,CUT,
Vijay Singh,CUT,
Mike Weir,CUT,
Ryan Moore,CUT,
Robert Streb,CUT,
Sammy Schmitz,CUT,
Andy Sullivan,CUT,
Cheng Jin,CUT,
Fabian Gomez,CUT,
Mark O'Meara,CUT,
Sandy Lyle,CUT,
Darren Clarke,CUT,
Steven Bowditch,CUT,
Ian Woosnam,CUT,
Paul Chaplet,CUT,
